store_id,uptime_last_hour,uptime_last_day,update_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
5014360692528129219,60,24,168,0,0,0
8363653675130006444,60,24,160,0,0,8
7469108739089752722,60,24,168,0,0,0
1288576128502837923,0,18,92,60,6,76
494584981462594241,29,9,67,31,15,101
7828565466095434540,0,0,0,60,24,168
924494512866798795,60,24,168,0,0,0
1009333266625513049,0,0,0,60,24,168
4115554697603818376,0,0,82,60,24,86
482405053040516887,60,24,168,0,0,0
3310671370097249907,60,24,168,0,0,0
6269139879097140365,60,24,168,0,0,0
2739506591976043860,60,13,129,0,11,39
4306062162897111672,60,22,166,0,2,2
8245825950638749372,60,15,139,0,9,29
4054909995682804339,60,24,168,0,0,0
2629184682400455388,0,0,0,60,24,168
1803103253870975098,60,24,168,0,0,0
752281089013846258,0,0,168,0,0,0
1298580698756743295,60,24,168,0,0,0
8008907219319216554,0,18,95,60,6,73
1694074305867984076,60,24,168,0,0,0
3258891942704923227,60,24,168,0,0,0
2960297822790286171,0,0,0,60,24,168
4771960929946904618,60,24,168,0,0,0
306275589933283277,0,0,29,60,24,139
3599251204194727910,60,24,168,0,0,0
3761065392460649801,0,14,117,60,10,51
3245433597727204948,0,7,62,60,17,106
3942136022551773279,60,24,168,0,0,0
7911029705250836944,60,24,168,0,0,0
4392262532304212457,60,24,168,0,0,0
7910873620393430408,60,24,125,0,0,43
6801672350951151970,0,0,0,60,24,168
5401719649147588482,60,24,168,0,0,0
4625110589066658924,0,0,0,60,24,168
1639892478985907487,0,0,0,60,24,168
8545446433867384261,60,24,168,0,0,0
1402891136913453677,0,0,0,60,24,168
5122159089165898554,60,23,165,0,1,3
4840031188784944463,60,24,168,0,0,0
2739564275596596870,60,24,168,0,0,0
8291100649115488145,0,0,0,60,24,168
4438150554369162705,0,0,0,60,24,168
9155193330186516304,60,24,168,0,0,0
452699122084283456,60,24,168,0,0,0
7509740124230812327,60,24,168,0,0,0
1451852806427843383,60,24,168,0,0,0
801297804360245006,60,24,168,0,0,0
8295885107976164734,0,0,0,60,24,168
7153310085777269315,60,24,168,0,0,0
2916254961096513651,60,14,132,0,10,36
3483888976569216513,60,24,168,0,0,0
7575377953579535994,60,24,168,0,0,0
3181898990960972439,60,16,144,0,8,24
6874021236378547801,60,24,168,0,0,0
8376405201419084298,60,24,168,0,0,0
3294191632483777641,60,24,168,0,0,0
6866999929605414254,60,24,168,0,0,0
6271041797853253252,60,24,168,0,0,0
7025781164473112289,60,24,168,0,0,0
1760881616877597468,60,24,168,0,0,0
6992375092785473080,60,24,168,0,0,0
689858000374545066,60,24,168,0,0,0
1654806615114467199,60,24,168,0,0,0
7091457090311630164,0,0,0,60,24,168
8810096342546195549,0,0,0,60,24,168
1745390536943397691,60,24,168,0,0,0
4644927054985551571,37,19,94,23,5,74
643859226602476283,60,24,168,0,0,0
2503462404073217222,0,0,0,60,24,168
54515546588432327,60,24,168,0,0,0
6427687325821063353,0,0,0,60,24,168
155313638600073426,60,24,135,0,0,33
3757661407281636758,60,24,168,0,0,0
6376227098205984858,60,24,168,0,0,0
5232494893711529653,60,24,168,0,0,0
1278643893148035299,60,24,168,0,0,0
3674754113822998887,60,24,168,0,0,0
3670055228896388007,0,0,0,60,24,168
8705773233781333649,60,24,168,0,0,0
8351671273577537518,0,0,0,60,24,168
2402445654503754979,60,24,154,0,0,14
4854561847895584814,60,24,168,0,0,0
790771878858568332,60,24,168,0,0,0
8056535549079348007,60,24,168,0,0,0
7851471791880751747,0,0,0,60,24,168
4764324408856179486,60,24,168,0,0,0
2956165284031707558,60,10,112,0,14,56
7195239968089796993,0,0,0,60,24,168
3348755465623413879,60,24,168,0,0,0
7004366290886405384,60,24,168,0,0,0
5181152104168722857,0,0,0,60,24,168
5319157205442591094,60,24,168,0,0,0
1497748925258615256,60,22,160,0,2,8
1635446939766206435,60,24,168,0,0,0
5778837721456391757,0,20,164,60,4,4
690453959266026585,60,24,168,0,0,0
4595646770186827888,60,24,168,0,0,0
1690678937462319897,0,0,0,60,24,168
2363064492569983119,60,22,105,0,2,63
7422816402006494705,60,24,168,0,0,0
8396636154679316178,60,24,168,0,0,0
4747912278242405616,0,14,117,60,10,51
5492585549839087598,60,24,168,0,0,0
6128025333934212921,60,24,168,0,0,0
7005157543601773150,60,24,168,0,0,0
6130227199021765566,60,24,168,0,0,0
6681664192412918280,0,0,37,60,24,131
9031596601888097222,0,0,0,60,24,168
6620071803741044856,0,10,154,60,14,14
2920647941726115816,60,24,168,0,0,0
817708990078405575,0,0,43,60,24,125
4132729848999072189,60,24,168,0,0,0
5037371960244689375,60,24,168,0,0,0
2624399680748347538,0,0,20,60,24,148
4209236945356931832,0,5,42,60,19,126
1176400014944170417,0,0,0,60,24,168
1713533781993249385,60,24,168,0,0,0
7102474576172279500,0,0,0,60,24,168
8920127518775186224,60,19,76,0,5,92
5933558721586681027,0,0,0,60,24,168
